"","text"
"1.content","HillaryClinton Enough  Enough wUr HillaryLies Insulted Millions AmericansClintonCorruptFoundationrealDonaldTrump TRUMP  POTUS"
"2.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"3.content","Hillary sez RT affinity  LSE scoundrels like Farage indicts Putin Real culprits  oligarchs Weaken Putin amp POTUS  "
"4.content","Lets get going dammit They  laser   eyes everydayU need  fathom betteramphave  better barometer potus MichelleObama  joebiden"
"5.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"6.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"7.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"8.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"9.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"10.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"11.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"12.content","The first MarxistMuslim POTUS  easy  spot Who voted   guy Enlist gt httpstcoGjZHkJKEhttpstcouwRevksGw"
"13.content","All  ask   foxnews   fair shakeI WAS HUGE SENTEDCRUZ SUPPORTERST HISPANIC AMERICAN TO EVER WIN POTUS PRIMARYFU SHEP"
"14.content","JeffersonObama  healthiest man ever elect   POTUS   Wow realDonaldTrump DishonestDonald MedicalMarvel httpstcoeUCWBlc"
"15.content","The MarxistMuslim POTUS  leading America  ruin Enlist amp fight back  httpstcoitkVSiPIW Stand  nowhttpstcowgZdkb"
"16.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"17.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"18.content","RT librarycongress New online POTUS Zachary Taylor joins  collections  presidential papers httpstcolFJXUbotd httpstcojf"
"19.content","rogerkinkaid OK I never watch CNN  I will make  exception    next POTUS will  interviewed"
"20.content","RT inabster Hillarys Mystery Illness Exposed  Episodes Add Up To  DIRE Diagnosis Unfit  POTUS httpstcoqFhdVagD httpst"
"21.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"22.content","neiltyson  President  POTUS We need someone   analytical enough  break  problem    core MychoicePOTUS"
"23.content","RT inabster What DNC  hiding Unfit   POTUS HillaryHealth HillaryMedicalRecords NeverHillary HillaryClinton httpstcoVkgcB"
"24.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"25.content","While Sec Clinton    Situation Room  POTUS killing Bin Laden   birther realDonaldTrump httpstcoZQTCQyghp"
"26.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"27.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"28.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"29.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"30.content","RT POPSUGAR President Obama definitely   way  kids POTUShttpstcoArtlOuV httpstcoxHwNzMFDtv"
"31.content","realDonaldTrump Clinton POTUS Polk  pressured  Democrats  Irish Famine victims  Migrants httpstcotLuWtGp MAGA"
"32.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"33.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"34.content","RT DanScavino RealBenCarson speaks  New Hampshire amp introduces  next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"35.content","RT pastormarkburns On TrumpForceOne last night   next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
