"","X[[i]]"
"1","HillaryClinton Enough is Enough wUr HillaryLies Insulted Millions AmericansClintonCorruptFoundationrealDonaldTrump TRUMP for POTUS"
"2","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"3","Hillary sez RT affinity for LSE scoundrels like Farage indicts Putin Real culprits are oligarchs Weaken Putin amp POTUS the same"
"4","Lets get going dammit They have laser in my eyes everydayU need to fathom betteramphave a better barometer potus MichelleObama  joebiden"
"5","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"6","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"7","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"8","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"9","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"10","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"11","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"12","The first MarxistMuslim POTUS is easy to spot Who voted for this guy Enlist gt httpstcoGjZHkJKEhttpstcouwRevksGw"
"13","All we ask for from foxnews is a fair shakeI WAS HUGE SENTEDCRUZ SUPPORTERST HISPANIC AMERICAN TO EVER WIN POTUS PRIMARYFU SHEP"
"14","JeffersonObama the healthiest man ever elect to be POTUS   Wow realDonaldTrump DishonestDonald MedicalMarvel httpstcoeUCWBlc"
"15","The MarxistMuslim POTUS is leading America to ruin Enlist amp fight back at httpstcoitkVSiPIW Stand up nowhttpstcowgZdkb"
"16","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"17","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"18","RT librarycongress New online POTUS Zachary Taylor joins our collections of presidential papers httpstcolFJXUbotd httpstcojf"
"19","rogerkinkaid OK I never watch CNN but I will make an exception being that our next POTUS will be interviewed"
"20","RT inabster Hillarys Mystery Illness Exposed  Episodes Add Up To  DIRE Diagnosis Unfit for POTUS httpstcoqFhdVagD httpst"
"21","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"22","neiltyson for President  POTUS We need someone who is analytical enough to break a problem down to its core MychoicePOTUS"
"23","RT inabster What DNC is hiding Unfit to be POTUS HillaryHealth HillaryMedicalRecords NeverHillary HillaryClinton httpstcoVkgcB"
"24","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"25","While Sec Clinton was in the Situation Room with POTUS killing Bin Laden here was birther realDonaldTrump httpstcoZQTCQyghp"
"26","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"27","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"28","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"29","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"30","RT POPSUGAR President Obama definitely has a way with kids POTUShttpstcoArtlOuV httpstcoxHwNzMFDtv"
"31","realDonaldTrump Clinton POTUS Polk was pressured by Democrats against Irish Famine victims and Migrants httpstcotLuWtGp MAGA"
"32","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"33","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"34","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"35","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"36","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"37","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"38","RT RealDJTrumpTeam There is only one way to end the corruption in our country Elect Donald John Trump  to be your next POTUShttp"
"39","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"40","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"41","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"42","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"43","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"44","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"45","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"46","RT davidmeroney Scampi grammac realDonaldTrump good  POTUS should have zero ties to extremism"
"47","RT pastormarkburns On TrumpForceOne last night with our next POTUS realDonaldTrump With DanScavino amp Steve TrumpTrain httpst"
"48","RT RealScottErnst If HillaryClinton is elected POTUS I will lead a revolution to overthrow her dictatorship  She will NEVER rule over"
"49","RealJamesWoods How can anyone Vote for her Its mind blowing Clinton is more AntiAmerican than POTUS Imagine that TrueStory"
"50","Scampi grammac realDonaldTrump good  POTUS should have zero ties to extremism"
"51","TRUMP Poll numbers are starting to look very good Leading in Florida  all numbers rising Hillary potus"
"52","HouseGOP how about doing your job first like vote on POTUS  fundZika or maybe a jobs bill yall are pathetic as a party youmadeTrump"
"53","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"54","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
"55","RT mpbarone AltRightMeans WE are the ones electing the next POTUS realDonaldTrump MAGA httpstcoTCDFvtJe"
"56","RT DanScavino RealBenCarson speaks in New Hampshire amp introduces our next POTUS realDonaldTrump TrumpTrain MAGA USAhttpstco"
