"","X[[i]]"
"1","i wonder who managed to get  to change his ways ideas "
"2","rt   courts another neocon tcodczinbxwo tcoxvzcxzjt"
"3","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"4","live donald trump jackson ms rally       tcocuvwgfvq"
"5","watch our new episode and meet waldorf leader of the greenie people    tcotuilpaiin"
"6","rt  why i believe in trumpplease watch and retweet    tcohxkslcbs"
"7","hey  why do you think that latinos are going to vote for you after you call us rapists amp drug pushers"
"8","tcoswgwkvblarry pinkney makes sense      "
"9"," joined  earlyon campaigntrail to tout trump  tcoeprqqogmd tcoxfzpscknk"
"10"," amp a conspiracy theory expert on claims made by   tcozdzgoupt tcoeqkhxid"
"11","all media love  because all media are also scam artist like  tcozqqiiafh"
"12","rt  what the hell do you have to lose   release your tax returns tcosboizjaaoy"
"13","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"14","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"15","so tellingdont trust the nothing  journalism doesnt exist there anymore"
"16","pastor burns mississippi will never allow  to become president  rally  tcofipyyavd "
"17"," will make america great again      but hes open to softening that stance"
"18","rt  why i believe in trumpplease watch and retweet    tcohxkslcbs"
"19","rt  sources say  plans to tweet something nasty about every person who votes for  i cant wait hope"
"20","rt     million in ransom illegally paid by obama to iran for  vine by world press daily tcorzx"
"21","rt     million in ransom illegally paid by obama to iran for  vine by world press daily tcorzx"
"22","a cuban  supporter in   explains why  will never work and why he supports  tcouivytjk"
"23"," oh really hey  what youve been saying for years is now on legitimate non biased news sites  "
"24","rt  i think that mr trump will go down in history as a great person and a great reformer     "
"25","rt   never   tcoomnxuwfd"
"26","rt   and  are to appear on stage together in the us tonight to discuss the brexit story"
"27","rt  electing  hurts the morality of america electing  proves that you can buy anything"
"28","now is time to readrt the  brilliant  what if  pulled a   tcohtmotcpb"
"29","losing track of what s policies are here is a complete list of s flipflops on big issues tconstmvsyy"
"30","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"31","rt  you cannot say you have trust issues w  and truthfulness and in the next sentence say you support "
"32","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"33","  american elections    "
"34"," rofl  is living in a world all his own"
"35","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"36","assume  knows nothing  tcobphqfegvi"
"37","rt  s son spoke about his fathers decision to visit flooddamaged louisiana while pres obama played golf t"
"38","rt  this video proves that if  was a man of his word hed drop out right now gtgttcokfossmapjltlt "
"39","have either  or  said anything about the empty  seat  "
"40","rt   completely ignores zika issue during florida speech tcogockhvsres via "
"41","rt   is more than  billion in debt  tcojhknssuwua"
"42","a tv preacher named  claims god told him to endorse   totally didnt see that coming tcofajahjvl"
"43","electing  hurts the morality of america electing  proves that you can buy anything"
"44","rt  ive voted dem for decades amp im still broke im voting for  hes the real deal   "
"45","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"46","rt  tcoonwptqi   vine by  tcokqdstlhga"
"47","rt     million in ransom illegally paid by obama to iran for  vine by world press daily tcorzx"
"48","rt  just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosb"
"49","rt   never   tcozrgqaccuhi"
"50","rt     dreaming of interns in the white house  vine by world press daily tcoekxdfe"
"51","rt     million in ransom illegally paid by obama to iran for  vine by world press daily tcorzx"
"52"," is more than  billion in debt  tcojhknssuwua"
"53","rt  u need  know the brother of  is recommended to choose     "
"54","rt  must watch     tcocvseucas"
"55","just in  will speak about immigration policy on august   the hyatt regency phoenix hotel tcosbwtjvrty"
"56"," campaign manager insists undercover trump voters will defy the polls tcobycukxurxu tcoovatuhic"
"57","why all free americans should vote trump tcogtpr    via "
"58"," everything about  offends decent people everywhere     "
"59","rt  this video proves that if  was a man of his word hed drop out right now gtgttcokfossmapjltlt "
"60","rt  trouble sign for  ambivalence in exurbs tcomfuzvzav      "
"61","of course s liberal messiah conman  just another  shill tcotwctefswb  "
"62","rt   courts another neocon tcodczinbxwo tcoxvzcxzjt"
"63","rt  this made me laugh rt if you agree    tcokdvcwxps"
"64","rt     dreaming of interns in the white house  vine by world press daily tcoekxdfe"
"65","rt     dreaming of interns in the white house  vine by world press daily tcoekxdfe"
"66","rt  bombshell paid  staffers stoking violence race wars on social media gtgttcopuryqxuhltlt  "
"67"," sure you will comrade you let down gold star families without batting an eye sad  "
"68","rt  tcoonwptqi   vine by  tcokqdstlhga"
"69"," is meeting with black leaders tomorrow without ever saying  yet he expects us believe he cares "
"70"," race shows why  waste billions on junk  products w inflated claims  suckering many believe me"
"71","rt  wonder if    realized how stupid the play dough was tcolhldaqsk"
"72","rt  former  alicia machado became a us citizen friday to vote against  tcotkgrxlecg"
"73"," courts another neocon tcodczinbxwo tcoxvzcxzjt"
"74"," is taking  from the campaign to keep his lifestyle hes conning americans and the rest of the world tcoafxdqy"
